OrderID,OrderDate,Region,Salesperson,Product,Category,Units,UnitPrice
1100,2025-01-19,  West  ,ROHAN SHAH,Bluetooth Speaker,Electronics,4,2999
1051,2025-04-08,North,Ananya Rao,A4 Paper Ream,Stationery,8,250
1016,2025-02-13,South,Divya Sharma,Bookshelf,Furniture,7,4200
1081,2025-02-21,West,Rohan Shah,A4 Paper Ream,Stationery,4,250
1109,2025-01-20,  East  ,Sneha Das,A4 Paper Ream,Stationery,6,250
1003,2025-06-01,West,Priya Mehta,Laptop Pro 14,Electronics,2,68000
1137,2025-06-01,East,Amit Ghosh, Standing Desk ,Furniture,2,15500
1157,2025-01-30,North,Ananya Rao,Bookshelf,furniture,2,4200
1086,2025-06-02,West,Rohan Shah, Gel Pen Pack ,Stationery,7,120
1046,2025-02-18,  West  ,Priya Mehta,27in Monitor,Electronics,3,18500
1088,2025-03-07,North,Ananya Rao,Laptop Pro 14,Electronics,9,68000
1021,2025-03-05,East,Amit Ghosh,Bluetooth Speaker,Electronics,7,2999
1096,2025-04-24,South,Karthik Iyer,Office Chair,Furniture,11,6500
1145,2025-02-26,  West  ,Priya Mehta,A4 Paper Ream,Stationery,11,250
1082,2025-02-27,  North  ,Ravi Kumar,27in Monitor,Electronics,6,18500
1138,2025-03-13,West,Priya Mehta,Bookshelf,Furniture,10,4200
1022,2025-04-03,South,Divya Sharma,Notebook Set,Stationery,8,350
1055,2025-05-30,  West  ,Priya Mehta,Laptop Pro 14,Electronics,9,68000
1089,2025-05-18,South,KARTHIK IYER,27in Monitor,Electronics,2,18500
1097,2025-01-22,East,Amit Ghosh,Wireless Mouse,Electronics,4,799
1026,2025-06-24,North,Ananya Rao,Gel Pen Pack,Stationery,2,120
1180,2025-04-13,North,Ananya Rao,Wireless Mouse,Electronics,6,799
1143,2025-04-15,West,Priya Mehta,Bookshelf,Furniture,11,4200
1123,2025-04-08,East,Amit Ghosh,A4 Paper Ream,Stationery,2,250
1167,2025-03-01,East,Sneha Das,27in Monitor,Electronics,2,18500
1087,2025-06-05,North,Ananya Rao,Bluetooth Speaker,Electronics,4,2999
1010,2025-02-01,  West  ,Priya Mehta,Notebook Set,Stationery,5,350
1048,2025-05-21,North,Ravi Kumar,Notebook Set,Stationery,1,350
1095,2025-02-23,West,Rohan Shah,Bookshelf,Furniture,8,4200
1019,2025-02-24,  East  ,Sneha Das,Bookshelf,Furniture,7,4200
1002,2025-02-27,South,Divya Sharma,Notebook Set,Stationery,2,350
1136,2025-02-15,  East  ,Amit Ghosh,Bookshelf,Furniture,7,4200
1068,2025-02-23,East,Sneha Das,A4 Paper Ream,Stationery,9,250
1078,2025-04-16,North,RAVI KUMAR,Gel Pen Pack,Stationery,7,120
1057,2025-06-22,South,Karthik Iyer,Wireless Mouse,Electronics,10,799
1013,2025-01-26,West,Rohan Shah,Bookshelf,Furniture,11,4200
1103,2025-02-15,West,Priya Mehta, Notebook Set ,Stationery,4,350
1112,2025-04-15,East,Amit Ghosh,27in Monitor,Electronics,1,18500
1122,2025-03-25,South,KARTHIK IYER,Gel Pen Pack,Stationery,6,120
1017,2025-03-11,South,Karthik Iyer,Laptop Pro 14,Electronics,4,68000
1005,2025-06-16,West,Priya Mehta,Bookshelf,Furniture,10,4200
1064,2025-03-04,  East  ,Amit Ghosh,Office Chair,Furniture,8,6500
1159,2025-03-19,North,Ravi Kumar,Wireless Mouse,Electronics,9,799
1084,2025-05-11,West,Rohan Shah,Laptop Pro 14,Electronics,2,68000
1092,2025-06-28,East,Sneha Das,Standing Desk,furniture,7,15500
1127,2025-05-02,  North  ,Ravi Kumar,Bookshelf,Furniture,12,4200
1061,2025-06-21,East,Amit Ghosh,Gel Pen Pack,Stationery,2,120
1154,2025-05-22,  East  ,Sneha Das, Bookshelf ,Furniture,2,4200
1006,2025-03-13,North,Ravi Kumar,27in Monitor,Electronics,6,18500
1164,2025-05-22,North,Ravi Kumar,Laptop Pro 14,Electronics,7,68000
1146,2025-05-29,East,Amit Ghosh,Notebook Set,Stationery,9,350
1050,2025-05-04,South,Karthik Iyer,Laptop Pro 14,Electronics,3,68000
1177,2025-04-22,West,PRIYA MEHTA,Bookshelf,Furniture,6,4200
1144,2025-05-06,West,PRIYA MEHTA,Wireless Mouse,electronics,5,799
1090,2025-06-20,East,Amit Ghosh,Wireless Mouse,Electronics,12,799
1025,2025-06-02,West,Rohan Shah,Notebook Set,Stationery,1,350
1042,2025-05-02,South,Karthik Iyer,27in Monitor,Electronics,4,18500
1059,2025-05-30,East,Amit Ghosh,Standing Desk,Furniture,11,15500
1140,2025-03-25,South,Karthik Iyer,Standing Desk,Furniture,6,15500
1176,2025-05-13,West,Rohan Shah,Office Chair,Furniture,10,6500
1098,2025-06-22,East,Sneha Das,Standing Desk,Furniture,3,15500
1150,2025-05-18,South,Divya Sharma,Standing Desk,Furniture,12,15500
1043,2025-01-25,North,Ananya Rao,Gel Pen Pack,Stationery,7,120
1045,2025-04-14,East,SNEHA DAS,Standing Desk,Furniture,4,15500
1155,2025-01-04,East,AMIT GHOSH,Bookshelf,Furniture,8,4200
1163,2025-06-19,  North  ,Ravi Kumar,Standing Desk,Furniture,3,15500
1147,2025-03-30,West,Rohan Shah,Gel Pen Pack,Stationery,12,120
1020,2025-06-14,West,Priya Mehta,A4 Paper Ream,Stationery,3,250
1135,2025-04-21,East,Amit Ghosh,Office Chair,Furniture,7,6500
1085,2025-03-08,South,Karthik Iyer,Laptop Pro 14,Electronics,2,68000
1162,2025-01-16,North,Ravi Kumar,Standing Desk,Furniture,,15500
1076,2025-03-05,North,Ananya Rao,Notebook Set,Stationery,7,350
1108,2025-03-12,West,Priya Mehta,A4 Paper Ream,Stationery,8,250
1039,2025-06-11,North,Ravi Kumar,Wireless Mouse,Electronics,1,799
1170,2025-05-26,East,Amit Ghosh,Wireless Mouse,electronics,8,799
1037,2025-01-31,  South  ,Divya Sharma,Wireless Mouse,Electronics,6,799
1178,2025-04-15,East,Amit Ghosh,Wireless Mouse,Electronics,3,799
1174,2025-01-07,North,Ravi Kumar,Bluetooth Speaker,Electronics,10,2999
1130,2025-01-07,East,Amit Ghosh,27in Monitor,Electronics,12,18500
1093,2025-06-20,West,Priya Mehta,Bluetooth Speaker,Electronics,,2999
1101,2025-06-28,West,Rohan Shah,27in Monitor,Electronics,4,18500
1120,2025-06-19,North,Ravi Kumar, 27in Monitor ,Electronics,3,18500
1044,2025-04-16,West,Priya Mehta,Wireless Mouse,Electronics,1,799
1054,2025-05-19,North,Ananya Rao,Laptop Pro 14,Electronics,1,68000
1110,2025-03-23,North,Ravi Kumar,Office Chair,Furniture,4,6500
1102,2025-02-07,North,Ravi Kumar,27in Monitor,Electronics,4,18500
1179,2025-03-26,West,Rohan Shah,A4 Paper Ream,Stationery,11,250
1071,2025-02-03,East,Sneha Das,Bookshelf,Furniture,9,4200
1018,2025-01-09,East,Amit Ghosh, A4 Paper Ream ,Stationery,2,250
1035,2025-06-26,South,Karthik Iyer, 27in Monitor ,Electronics,11,18500
1172,2025-05-19,  West  ,Rohan Shah,Wireless Mouse,Electronics,10,799
1099,2025-01-07,North,Ravi Kumar,Bookshelf,Furniture,10,4200
1038,2025-01-06,South,Divya Sharma,Laptop Pro 14,Electronics,2,68000
1117,2025-04-22,West,Priya Mehta,27in Monitor,Electronics,6,18500
1063,2025-02-24,East,Sneha Das,Gel Pen Pack,Stationery,2,120
1121,2025-04-29,South,Divya Sharma,A4 Paper Ream,Stationery,7,250
1124,2025-05-01,North,Ravi Kumar,Gel Pen Pack,Stationery,4,120
1107,2025-05-02,West,Rohan Shah,Standing Desk,Furniture,11,15500
1070,2025-04-19,East,Sneha Das,Laptop Pro 14,Electronics,,68000
1131,2025-02-20,North,Ravi Kumar,Wireless Mouse,electronics,12,799
1075,2025-04-04,North,Ananya Rao,Standing Desk,Furniture,11,15500
1168,2025-05-20,South,Divya Sharma,A4 Paper Ream,Stationery,3,250
1040,2025-03-26,North,Ravi Kumar,A4 Paper Ream,stationery,11,250
1031,2025-01-29,East,Amit Ghosh,Standing Desk,Furniture,1,15500
1175,2025-01-06,East,Sneha Das,Office Chair,Furniture,8,6500
1016,2025-02-13,South,Divya Sharma,Bookshelf,Furniture,7,4200
1058,2025-03-05,North,Ravi Kumar,27in Monitor,Electronics,11,18500
1024,2025-02-10,West,Priya Mehta,27in Monitor,Electronics,,18500
1105,2025-05-16,East,Amit Ghosh,Bluetooth Speaker,electronics,12,2999
1152,2025-03-17,South,Karthik Iyer,Office Chair,Furniture,5,6500
1004,2025-02-25,South,Divya Sharma,Notebook Set,Stationery,4,350
1142,2025-03-12,North,Ravi Kumar,Wireless Mouse,Electronics,4,799
1080,2025-01-28,West,Priya Mehta,Bookshelf,Furniture,4,4200
1041,2025-05-05,South,Divya Sharma,Bluetooth Speaker,Electronics,10,2999
1062,2025-01-03,West,Priya Mehta,Wireless Mouse,Electronics,9,799
1008,2025-01-24,West,Priya Mehta,Gel Pen Pack,Stationery,6,120
1032,2025-03-03,North,Ravi Kumar,Bookshelf,Furniture,2,4200
1125,2025-06-16,North,Ravi Kumar,Laptop Pro 14,Electronics,4,68000
1113,2025-02-22,West,Rohan Shah,Bluetooth Speaker,Electronics,12,2999
1074,2025-02-07,West,Priya Mehta,Laptop Pro 14,Electronics,5,68000
1034,2025-02-12,East,AMIT GHOSH,Standing Desk,Furniture,9,15500
1141,2025-03-08,East,Amit Ghosh,Bluetooth Speaker,Electronics,12,2999
1069,2025-05-06,East,Sneha Das, Wireless Mouse ,Electronics,11,799
1053,2025-03-17,South,Divya Sharma,Bluetooth Speaker,electronics,12,2999
1173,2025-01-11,West,Rohan Shah,Bluetooth Speaker,Electronics,5,2999
1114,2025-01-06,West,Rohan Shah,Laptop Pro 14,Electronics,6,68000
1161,2025-03-18,West,Rohan Shah,Bluetooth Speaker,Electronics,10,2999
1128,2025-03-07,East,Sneha Das,Bluetooth Speaker,Electronics,10,2999
1160,2025-04-17,South,Karthik Iyer,Bookshelf,Furniture,8,4200
1093,2025-06-20,West,Priya Mehta,Bluetooth Speaker,Electronics,,2999
1133,2025-04-20,East,SNEHA DAS,Notebook Set,Stationery,11,350
1049,2025-01-24,South,Divya Sharma,27in Monitor,Electronics,8,18500
1014,2025-04-04,South,Karthik Iyer,Gel Pen Pack,stationery,4,120
1106,2025-05-10,West,Rohan Shah,Office Chair,Furniture,12,6500
1119,2025-06-09,North,Ananya Rao,Bluetooth Speaker,Electronics,10,2999
1139,2025-06-06,West,Rohan Shah,Laptop Pro 14,Electronics,,68000
1169,2025-01-19,North,Ravi Kumar,A4 Paper Ream,Stationery,10,250
1001,2025-06-13,  North  ,RAVI KUMAR, A4 Paper Ream ,stationery,,250
1132,2025-03-19,North,Ravi Kumar,Gel Pen Pack,Stationery,9,120
1104,2025-02-01,West,Priya Mehta,Bookshelf,Furniture,11,4200
1030,2025-05-19,North,Ananya Rao,Bookshelf,Furniture,1,4200
1083,2025-03-13,North,Ananya Rao,Gel Pen Pack,Stationery,11,120
1065,2025-05-20,East,Sneha Das,Notebook Set,Stationery,5,350
